timestamp,elapsed_time,iteration,color,R,G,B
2025-04-02 21:08:47,0.01,0,none,19,18,19
2025-04-02 21:08:47,0.52,1,none,22,19,20
2025-04-02 21:08:48,1.02,2,none,22,19,20
2025-04-02 21:08:48,1.52,3,none,22,19,20
2025-04-02 21:08:49,2.04,4,none,7,6,6
2025-04-02 21:08:49,2.57,5,none,6,6,8
2025-04-02 21:08:50,3.10,6,none,5,6,7
2025-04-02 21:08:50,3.62,7,none,6,6,7
2025-04-02 21:08:51,4.14,8,none,7,6,7
2025-04-02 21:08:51,4.69,9,none,5,6,6
2025-04-02 21:08:52,5.20,10,none,7,7,8
2025-04-02 21:08:52,5.75,11,none,9,8,8
2025-04-02 21:08:53,6.30,12,none,10,10,10
2025-04-02 21:08:54,6.83,13,none,9,9,8
2025-04-02 21:08:54,7.37,14,none,7,6,7
2025-04-02 21:08:55,7.91,15,none,9,9,9
2025-04-02 21:08:55,8.45,16,none,8,7,7
2025-04-02 21:08:56,8.99,17,none,7,8,9
2025-04-02 21:08:56,9.53,18,none,12,12,13
2025-04-02 21:08:57,10.07,19,none,12,11,12
2025-04-02 21:08:57,10.60,20,none,6,5,7
2025-04-02 21:08:58,11.15,21,none,16,15,16
2025-04-02 21:08:58,11.67,22,none,10,9,11
2025-04-02 21:08:59,12.21,23,none,21,20,20
2025-04-02 21:08:59,12.75,24,none,33,29,28
2025-04-02 21:09:00,13.30,25,none,31,28,28
2025-04-02 21:09:01,13.84,26,none,27,23,24
2025-04-02 21:09:01,14.38,27,none,29,26,27
2025-04-02 21:09:02,14.94,28,none,31,28,27
2025-04-02 21:09:02,15.49,29,none,28,26,27
2025-04-02 21:09:03,16.04,30,none,28,26,28
2025-04-02 21:09:03,16.59,31,none,28,24,25
2025-04-02 21:09:04,17.15,32,none,27,25,25
2025-04-02 21:09:04,17.69,33,none,29,27,26
